Term,Project,TopicID,Screen#,Template Type,Category,Status,Type,Title or Non Title,Title,Instruction,Tooltip,Webhost link,Title by
2,MOE_SCI,SC8_L024_Learn_1,5,Custom DND,A1,Done,Drag and Drop,inTitle,,Drag and drop the colors to correctly label the rays of light.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L024_Learn_1/app/index.html,Aditi
2,MOE_SCI,SC8_L024_Review,4,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop the terms to correctly label the image.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L024_Review/app/index.html,Aditi
2,MOE_SCI,SC6_L017_Review,2,Custom DND,B1,Done,Drag and Drop,inTitle,,Drag and drop to complete the chart.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L017_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L009_Review_01,1,Hotspot,,Done,,,,No instruction,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L009_Review_01/app/index.html,Aditi
2,MOE_SCI,SC6_L011_Learn_2,6,Hotspot,,Done,,,,The 3 domains are classified into 6 kingdoms. Click to explore.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L011_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC7_L009_Learn_1,3,Hotspot,,Done,,,,Click on the hotspots to learn about the states of matter.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L009_Learn_1/app/,Aditi
2,MOE_SCI,SC7_L009_Learn_2,3,Hotspot,,Done,,,,Click on the hotspots to see how we represent compounds.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L009_Learn_2/app/,Aditi
2,MOE_SCI,SC7_L009_Review,5,Hotspot,,Done,,,,click on the hotspots to review compounds and chemical formulas.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L009_Review/app/index.html,Aditi
2,MOE_SCI,SC8_L015_Learn_2,3,Hotspot,,Done,,,,Click the parts of the image to learn about magnetic fields.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L015_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC8_L015_Review,1,Hotspot,,Done,,,,Click on the picture to review information about magnets.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L015_Review/app/index.html,Aditi
2,MOE_SCI,SC7_L010_Learn_2,4,Hotspot,,Done,,,,Click to learn about temperature and state changes.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L010_Learn_2/app/index.html,Aditi
