,Term,Project,TopicID,Screen#,Template Type,Category,Images,Status,Type,
Kartik,2,NCE_ELA,CS_ELA5_L004_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L004_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L005_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L005_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L006_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
